id,name,quarter,avg_d,avg_u,avg_l
LI,Liechtenstein,2020-10-01,114.69,87.25,8.77
LI,Liechtenstein,2021-01-01,123.94,92.55,8.37
LI,Liechtenstein,2021-04-01,124.91,89.94,7.79
LI,Liechtenstein,2021-07-01,131.24,97.68,7.23
LI,Liechtenstein,2021-10-01,150.56,120.47,6.79
LI,Liechtenstein,2022-01-01,165.9,137.86,6.11
LT,Lietuva,2019-01-01,61.38,56.55,19.43
LT,Lietuva,2019-04-01,61.38,54.99,19.57
LT,Lietuva,2019-07-01,70,68.48,14.13
LT,Lietuva,2019-10-01,72.43,72.75,12.67
LT,Lietuva,2020-01-01,74.17,75.95,12.27
LT,Lietuva,2020-04-01,79.54,81.7,11.8
LT,Lietuva,2020-07-01,82.23,82.71,12.63
LT,Lietuva,2020-10-01,87.75,88.16,12.1
LT,Lietuva,2021-01-01,96.18,94.02,11.97
LT,Lietuva,2021-04-01,100.64,92.61,12.49
LT,Lietuva,2021-07-01,101.87,93.24,12.53
LT,Lietuva,2021-10-01,111.01,102.8,12.47
LT,Lietuva,2022-01-01,114.01,106.04,13.04
LU,Luxembourg,2019-01-01,80.25,56.32,13.95
LU,Luxembourg,2019-04-01,79.25,56.88,15.4
LU,Luxembourg,2019-07-01,88.12,60.72,13
LU,Luxembourg,2019-10-01,91.65,63.88,11.76
LU,Luxembourg,2020-01-01,95.64,64.65,12.32
LU,Luxembourg,2020-04-01,100.78,65.07,12.43
LU,Luxembourg,2020-07-01,111.32,72.42,10.67
LU,Luxembourg,2020-10-01,125.96,85.56,10.73
LU,Luxembourg,2021-01-01,133.89,90.89,9.61
LU,Luxembourg,2021-04-01,145.28,94.02,9.15
LU,Luxembourg,2021-07-01,149.36,96.34,8.95
LU,Luxembourg,2021-10-01,161.64,103.39,9.41
LU,Luxembourg,2022-01-01,167.64,107.64,9.33
LV,Latvija,2019-01-01,43.97,40.87,18.72
LV,Latvija,2019-04-01,48.52,43.34,19.49
LV,Latvija,2019-07-01,59.24,56.68,16.11
LV,Latvija,2019-10-01,67.73,68.01,13.47
LV,Latvija,2020-01-01,67.8,66.94,14.38
LV,Latvija,2020-04-01,67.61,65.49,17.2
LV,Latvija,2020-07-01,67.12,63.99,16.34
LV,Latvija,2020-10-01,72.44,71.57,15.43
LV,Latvija,2021-01-01,84.33,83.76,14.44
LV,Latvija,2021-04-01,92.21,83.75,15.41
LV,Latvija,2021-07-01,93.11,82.37,15.56
LV,Latvija,2021-10-01,105,92.32,14.91
LV,Latvija,2022-01-01,110.63,95.56,14.67
ME,Crna Gora,2019-01-01,30.44,5.7,24.56
ME,Crna Gora,2019-04-01,28.27,5.67,23.95
ME,Crna Gora,2019-07-01,28.53,5.98,25.64
ME,Crna Gora,2019-10-01,41.8,7.05,15.36
ME,Crna Gora,2020-01-01,46.03,5.69,13.86
ME,Crna Gora,2020-04-01,47.84,7.17,13.86
ME,Crna Gora,2020-07-01,44.84,7.42,13.92
ME,Crna Gora,2020-10-01,53.63,8.68,13.99
ME,Crna Gora,2021-01-01,55.78,8.89,13.37
ME,Crna Gora,2021-04-01,52.23,8.48,11.83
ME,Crna Gora,2021-07-01,43.67,7.56,13.84
ME,Crna Gora,2021-10-01,70,11.67,11.78
ME,Crna Gora,2022-01-01,73.55,11.48,10.6
MK,Severna Makedonija,2019-01-01,20.56,9.9,32.78
